text,category
"The science of networks has revolutionised research into the dynamics of interacting elements. It could be argued that epidemiology in particular has embraced the potential of network theory more than any other discipline. Here we review the growing body of research concerning the spread of infectious diseases on networks, focusing on the interplay between network theory and epidemiology. The review is split into four main sections, which examine: the types of network relevant to epidemiology; t",social science
"We present a brief review of brane-world models - models in which our observable Universe with its standard matter fields is assumed as localized on a domain wall (three-brane) in a higher dimensional surrounding (bulk) spacetime. Models of this type arise naturally in M-theory and have been intensively studied during the last years. We pay particular attention to the covariant projection approach, the Cardassian scenario, to induced gravity models, self-tuning models and the Ekpyrotic scenario.",astronomy
"In biology, a biological life cycle (or just life cycle when the biological context is clear) is a series of stages of the life of an organism, that begins as a zygote, often in an egg, and concludes as an adult that reproduces, producing an offspring in the form of a new zygote which then itself goes through the same series of stages, the process repeating in a cyclic fashion. ""The concept is closely related to those of the life history, development and ontogeny, but differs from them in stressing renewal."" Transitions of form may involve growth, asexual reproduction, or sexual reproduction.",biology
"Besides air pollution and commuter stress, traffic congestions also lead to loss of productivity, increase in delay, vehicle operating cost, and accidents. To assuage these issues, several logistics companies are planning to launch air taxis, electric-powered vehicles that aim to provide faster passenger commutes on a daily basis at an affordable cost. This research is one of the first to propose a centralized framework to dispatch and route flying taxis in a cyber-physical network considering u",social science
Helitrons are one of the three groups of eukaryotic class 2 transposable elements (TEs) so far described. They are the eukaryotic rolling-circle transposable elements which are hypothesized to transpose by a rolling circle replication mechanism via a single-stranded DNA intermediate.,biology
"Allosteric drugs are increasingly used because they produce fewer side effects. Allosteric signal propagation does not stop at the 'end' of a protein, but may be dynamically transmitted across the cell. Here, we propose that the concept of allosteric drugs can be broadened to allo-network drugs, whose effects can propagate either within a protein, or across several proteins, to enhance or inhibit specific interactions along a pathway. We posit that current allosteric drugs are a special case of ",microbiology
"Quasi-best match graphs (qBMGs) are a hereditary class of directed, properly vertex-colored graphs. They arise naturally in mathematical phylogenetics as a generalization of best match graphs, which formalize the notion of evolutionary closest relatedness of genes (vertices) in multiple species (vertex colors). They are explained by rooted trees whose leaves correspond to vertices. In contrast to BMGs, qBMGs represent only best matches at a restricted phylogenetic distance. We provide characteri",ecology
"With the help of a simple 20 letters, lattice model of heteropolymers, we investigate the energy landscape in the space of designed good-folder sequences. Low-energy sequences form clusters, interconnected via neutral networks, in the space of sequences. Residues which play a key role in the foldability of the chain and in the stability of the native state are highly conserved, even among the chains belonging to different clusters. If, according to the interaction matrix, some strong attractive ",biology
"Emerging technologies are technologies whose development, practical applications, or both are still largely unrealized. These technologies are generally new but also include old technologies finding new applications.",new technology
Molecular Microbiology is a bimonthly peer-reviewed scientific journal covering all aspects of molecular microbiology. It was established in 1987 and is published by Wiley-Blackwell.,microbiology
"In biology, taxonomy (from Ancient Greek  τάξις (taxis) 'arrangement' and  -νομία (-nomia) 'method') is the scientific study of naming, defining (circumscribing) and classifying groups of biological organisms based on shared characteristics. Organisms are grouped into taxa (singular: taxon), and these groups are given a taxonomic rank; groups of a given rank can be aggregated to form a more inclusive group of higher rank, thus creating a taxonomic hierarchy.",biology
"Microscopic structural damage, such as lesions in neural systems or disruptions in urban transportation networks, can impair the dynamics crucial for systems' functionality, such as electrochemical signals or human flows, or any other type of information exchange, respectively, at larger topological scales. Damage is usually modeled by progressive removal of components or connections and, consequently, systems' robustness is assessed in terms of how fast their structure fragments into disconnect",social science
"We investigate the scalar metric perturbations about a de Sitter brane universe in a 5-dimensional anti de Sitter bulk. We compare the master-variable formalism, describing metric perturbations in a 5-dimensional longitudinal gauge, with results in a Gaussian normal gauge. For a vacuum brane (with constant brane tension) there is a continuum of normalizable Kaluza-Klein modes, with m>3H/2, which remain in the vacuum state. A light radion mode, with m=\sqrt{2}H, satisfies the boundary conditions ",astronomy
"It is shown that the usual entropy argument for the Gregory-Laflamme (GL) instability for $some$ appropriate black strings and $p$-branes gives surprising agreement up to a few percent. This may provide a strong support to the GL's horizon fragmentation, which would produce the array of higher-dimensional Schwarzschild-type's black holes finally. On the other hand, another estimator for the size of the black hole end-state relative to the compact dimension indicates a second order (i.e., smooth)",astronomy
"The conflict in Ukraine is causing large-scale displacement in Europe and in the World. Based on the United Nations High Commissioner for Refugees (UNHCR) estimates, more than 7 million people fled the country as of 5 September 2022. In this context, it is extremely important to anticipate where these people are moving so that national to local authorities can better manage challenges related to their reception and integration. This work shows how innovative data from social media can provide us",social science
"The Andromeda Galaxy is a barred spiral galaxy and is the nearest major galaxy to the Milky Way. It was originally named the Andromeda Nebula and is cataloged as Messier 31, M31, and NGC 224.",astronomy
"A numerical solution of Einstein field equations for a spherical symmetric and stationary system of identical and auto-gravitating particles in phase transition is presented. The fluid possess a perfect fluid energy momentum tensor, and the internal interactions of the system are represented by a van der Walls like equation of state able to describe a first order phase transition of the type gas-liquid. We find that the space-time curvature, the radial component of the metric, and the pressure a",astronomy
"Bacterial growth depends crucially on metabolic fluxes, which are limited by the cell's capacity to maintain metabolic enzymes. The necessary enzyme amount per unit flux is a major determinant of metabolic strategies both in evolution and bioengineering. It depends on enzyme parameters (such as kcat and KM constants), but also on metabolite concentrations. Moreover, similar amounts of different enzymes might incur different costs for the cell, depending on enzyme-specific properties such as prot",microbiology
"In this article, the formation of biconcave vesicle according to the minimization bending energy (Helfrich's model) is studied. We present that in order to have biconcave shape vesicle, there are necessary conditions on the parameters of the energy functional and there are implications on the geometric quantities of the vesicle. Furthermore, we also give a clear sufficient condition on the parameters to have the formation of biconcave shape vesicle.",biology
"Portmán is a locality in the Region of Murcia, Spain, located to the south of the municipality of La Unión at the foot of the mining mountain range of Cartagena-La Unión in a bay bathed by the Mediterranean Sea. Its territory has a very rugged topography, surrounded by mountains that surround the coastal plain, where the population center is located.",climatology
"In this work we investigate the development of stable dynamical structures along interfaces separating domains belonging to enemy partnerships, in the context of cyclic predator-prey models with an even number of species $N \ge 8$. We use both stochastic and field theory simulations in one and two spatial dimensions, as well as analytical arguments, to describe the association at the interfaces of mutually neutral individuals belonging to enemy partnerships and to probe their role in the develop",ecology
"The Jacobian matrix of a dynamic system and its principal minors play a prominent role in the study of qualitative dynamics and bifurcation analysis. When interpreting the Jacobian as an adjacency matrix of an interaction graph, its principal minors correspond to sets of disjoint cycles in this graph and conditions for various dynamic behaviors can be inferred from its cycle structure. For chemical reaction systems, more fine-grained analyses are possible by studying a bipartite species-reaction",microbiology
"Urban areas serve as melting pots of people with diverse socioeconomic backgrounds, who may not only be segregated but have characteristic mobility patterns in the city. While mobility is driven by individual needs and preferences, the specific choice of venues to visit is usually constrained by the socioeconomic status of people. The complex interplay between people and places they visit, given their personal attributes and homophily leaning, is a key mechanism behind the emergence of socioecon",social science
"Reflection is the change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound and water waves.",physics
"Ambitious targets for renewable energy and CO2 taxation both represent political instruments for decarbonisation of the energy system. We model a high number of coupled electricity and heating systems, where the primary sources of CO2 neutral energy are from variable renewable energy sources (VRES), i.e., wind and solar generators. The model includes hourly dispatch of all technologies for a full year for every country in Europe. In each model run, the amount of renewable energy and the level of",social science
"Cognitive computing refers to technology platforms that, broadly speaking, are based on the scientific disciplines of artificial intelligence and signal processing.  These platforms encompass machine learning, reasoning, natural language processing, speech recognition and vision (object recognition), human–computer interaction, dialog and narrative generation, among other technologies.",new technology
"Minority rights are the normal individual rights as applied to members of racial, ethnic, class, religious, linguistic or gender and sexual minorities, and also the collective rights accorded to any minority group. Civil-rights movements often seek to ensure that individual rights are not denied on the basis of membership in a minority group.",astronomy
"Aragonese literature of Spain includes Aragonese-language poetry, prose and novels.    == Middle Ages == The Glosas Emilianenses (11th century) are the first written testimony in Basque and Aragonese languages.",literature
"Energy Research & Social Science is a peer-reviewed academic journal covering social science research on energy systems and energy and society, including anthropology, economics, geography, psychology, political science, social policy, sociology, science and technology studies and legal studies. It was established in 2014 and is now among the most highly ranked journals on energy and social sciences.",social science
"We analyze the paper of Nathan D. Grubaugh et al. (Nature 546, 401-405, 2017) and find that it does not offer a convincing quantitative explanation for what generated the temporal distribution of human Zika virus (ZIKV) cases shown in their paper (Fig. 1d). We criticize this aspect because it is this understanding of how human cases develop from day-today and week-to-week within an area such as these Ground Zeros, that policymakers need in order to mitigate future outbreaks. We present results t",ecology
"We study systems with two symmetric absorbing states, such as the voter model and variations of it, which have been broadly used as minimal neutral models in genetics, population ecology, sociology, etc. We analyze the effects of a key ingredient ineluctably present in most real applications: random-field-like quenched disorder. In accord with simulations and previous findings, coexistence between the two competing states/opinions turns out to be strongly favored by disorder in the standard vote",ecology
"There are fundamental differences between citation networks and other classes of graphs. In particular, given that citation networks are directed and acyclic, methods developed primarily for use with undirected social network data may face obstacles. This is particularly true for the dynamic development of community structure in citation networks. Namely, it is neither clear when it is appropriate to employ existing community detection approaches nor is it clear how to choose among existing appr",social science
"Push-pull networks are ubiquitous in signal transduction pathways in both prokaryotic and eukaryotic cells. They allow cells to strongly amplify signals via the mechanism of zero-order ultrasensitivity. In a push-pull network, two antagonistic enzymes control the activity of a protein by covalent modification. These enzymes are often uniformly distributed in the cytoplasm. They can, however, also be colocalized in space, for instance, near the pole of the cell. Moreover, it is increasingly recog",microbiology
"""Resurrection ecology"" is an evolutionary biology technique whereby researchers hatch dormant eggs from lake sediments to study animals as they existed decades ago. It is a new approach that might allow scientists to observe evolution as it occurred, by comparing the animal forms hatched from older eggs with their extant descendants.",ecology
A basis under which a given set of realizations of a stochastic process can be represented most sparsely (the so-called best sparsifying basis (BSB)) and the one under which such a set becomes as less statistically dependent as possible (the so-called least statistically-dependent basis (LSDB)) are important for data compression and have generated interests among computational neuroscientists as well as applied mathematicians. Here we consider these bases for a particularly simple stochastic pro,biology
"""Mayer waves"" are long-period (6 to 12 seconds) oscillations in arterial blood pressure, which have been observed and studied for more than 100 years in the cardiovascular system of humans and other mammals. A mathematical model of the human cardiovascular system is presented, incorporating parameters relevantto the onset of Mayer waves. The model is analyzed using methods of Lyapunov stability and Hopf bifurcation theory. The analysis shows that increase in the gain of the baroreflex feedback l",biology
"Cooperation in the evolutionary snowdrift game with a self-questioning updating mechanism is studied on annealed and quenched small-world networks with directed couplings. Around the payoff parameter value $r=0.5$, we find a size-invariant symmetrical cooperation effect. While generally suppressing cooperation for $r>0.5$ payoffs, rewired networks facilitated cooperative behavior for $r<0.5$. Fair amounts of noise were found to break the observed symmetry and further weaken cooperation at relati",social science
"For much of biology, the manner in which genotype maps to phenotype remains a fundamental mystery. The few maps that are known tend to show modular pleiotropy: sets of phenotypes are determined by distinct sets of genes. One key map that has evaded discovery is that of the human brain's network architecture. Here, we determine the form of this map for gene coexpression and single nucleotide polymorphisms. We discover that mostly non-overlapping sets of genes encode the connectivity of brain netw",ecology
"By analyzing the survival probability amplitude of an unstable state we show that the energy corrections to this state in the long ($t \to \infty$) and relatively short (lifetime of the state) time regions, are different. It is shown that in the considered model the above corrections decrease to zero as $t \to \infty$. It is hypothesized that this property could be detected by analyzing the spectra of distant astrophysical objects. The above property of unstable states may influence the measured",astronomy
"Bacillus, from Latin ""bacillus"", meaning ""little staff, wand"", is a genus of Gram-positive, rod-shaped bacteria, a member of the phylum Bacillota, with 266 named species. The term is also used to describe the shape (rod) of other so-shaped bacteria; and the plural Bacilli is the name of the class of bacteria to which this genus belongs.",microbiology
"Many membrane channels and receptors exhibit adaptive, or desensitized, response to a strong sustained input stimulus, often supported by protein activity-dependent inactivation. Adaptive response is thought to be related to various cellular functions such as homeostasis and enlargement of dynamic range by background compensation. Here we study the quantitative relation between adaptive response and background compensation within a modeling framework. We show that any particular type of adaptive",microbiology
"In the field of urban planning, road network system planning is often the first step and the main purpose of urban planning is to create a spatial configuration of different functions such as residence, education, business, etc. Generally speaking, the more mixed the functions of an area has, the more possible its vitality may be. Therefore, in this article, we propose a new framework to study the specific spatial influence patterns of the overall structure and different sub-structures of road n",social science
"Biological structure and function depend on complex regulatory interactions between many genes. A wealth of gene expression data is available from high-throughput genome-wide measurement technologies, but effective gene regulatory network inference methods are still needed. Model-based methods founded on quantitative descriptions of gene regulation are among the most promising, but many such methods rely on simple, local models or on ad hoc inference approaches lacking experimental interpretabil",microbiology
"We introduce a non-linear variant of the voter model, the q-voter model, in which q neighbors (with possible repetition) are consulted for a voter to change opinion. If the q neighbors agree, the voter takes their opinion; if they do not have an unanimous opinion, still a voter can flip its state with probability $ε$. We solve the model on a fully connected network (i.e. in mean-field) and compute the exit probability as well as the average time to reach consensus. We analyze the results in the ",social science
"Disordered networks of fragile elastic elements have been proposed as a model of inner porous regions of large bones [Gunaratne et.al., cond-mat/0009221, http://xyz.lanl.gov]. It is shown that the ratio $Γ$ of responses of such a network to static and periodic strain can be used to estimate its ultimate (or breaking) stress. Since bone fracture in older adults results from the weakening of porous bone, we discuss the possibility of using $Γ$ as a non-invasive diagnostic of osteoporotic bone.",biology
